country_name,country_code,year,gini_index,world_regions,zscore
afghanistan,afg,2023,,Asia,
aland islands,ala,2023,,Europe,
albania,alb,1996,0.27,,-1.17719403993975
albania,alb,2002,0.32,,-0.6024052237686565
albania,alb,2005,0.31,,-0.7173629870028754
albania,alb,2008,0.3,,-0.8323207502370942
albania,alb,2012,0.29,,-0.947278513471313
albania,alb,2014,0.35,,-0.25753193406600067
albania,alb,2015,0.33,,-0.48744746053443766
albania,alb,2016,0.34,,-0.37248969730021886
albania,alb,2017,0.33,,-0.48744746053443766
albania,alb,2018,0.3,,-0.8323207502370942
albania,alb,2019,0.3,,-0.8323207502370942
albania,alb,2020,0.29,,-0.947278513471313
albania,alb,2023,,Europe,
algeria,dza,1988,0.37,,-0.02761640759756302
algeria,dza,1995,0.35,,-0.25753193406600067
algeria,dza,2011,0.28,,-1.0622362767055311
algeria,dza,2023,,Africa,
american samoa,asm,2023,,Oceania,
andorra,and,2023,,Europe,
angola,ago,2000,0.52,,1.6967500409157181
angola,ago,2008,0.43,,0.6621301718077492
angola,ago,2018,0.51,,1.5817922776814992
angola,ago,2023,,Africa,
anguilla,aia,2023,,North America,
antigua and barbuda,atg,2023,,North America,
argentina,arg,2023,,South America,
armenia,arm,1999,0.36,,-0.14257417083178184
armenia,arm,2001,0.35,,-0.25753193406600067
armenia,arm,2002,0.35,,-0.25753193406600067
armenia,arm,2003,0.33,,-0.48744746053443766
armenia,arm,2004,0.38,,0.0873413556366558
armenia,arm,2005,0.36,,-0.14257417083178184
armenia,arm,2006,0.3,,-0.8323207502370942
armenia,arm,2007,0.31,,-0.7173629870028754
armenia,arm,2008,0.29,,-0.947278513471313
armenia,arm,2009,0.28,,-1.0622362767055311
armenia,arm,2010,0.3,,-0.8323207502370942
armenia,arm,2011,0.29,,-0.947278513471313
armenia,arm,2012,0.3,,-0.8323207502370942
armenia,arm,2013,0.31,,-0.7173629870028754
armenia,arm,2014,0.31,,-0.7173629870028754
armenia,arm,2015,0.32,,-0.6024052237686565
armenia,arm,2016,0.33,,-0.48744746053443766
armenia,arm,2017,0.34,,-0.37248969730021886
armenia,arm,2018,0.34,,-0.37248969730021886
armenia,arm,2019,0.3,,-0.8323207502370942
armenia,arm,2020,0.25,,-1.4071095664081876
armenia,arm,2021,0.28,,-1.0622362767055311
armenia,arm,2022,0.28,,-1.0622362767055311
armenia,arm,2023,0.27,Asia,-1.17719403993975
aruba,abw,2023,,North America,
australia,aus,1981,0.31,,-0.7173629870028754
australia,aus,1985,0.32,,-0.6024052237686565
australia,aus,1989,0.33,,-0.48744746053443766
australia,aus,1995,0.33,,-0.48744746053443766
australia,aus,2001,0.33,,-0.48744746053443766
australia,aus,2003,0.33,,-0.48744746053443766
australia,aus,2004,0.33,,-0.48744746053443766
australia,aus,2008,0.35,,-0.25753193406600067
australia,aus,2010,0.35,,-0.25753193406600067
australia,aus,2014,0.34,,-0.37248969730021886
australia,aus,2016,0.34,,-0.37248969730021886
australia,aus,2018,0.34,,-0.37248969730021886
australia,aus,2020,0.34,,-0.37248969730021886
australia,aus,2023,,Oceania,
austria,aut,1994,0.31,,-0.7173629870028754
austria,aut,1995,0.3,,-0.8323207502370942
austria,aut,1996,0.29,,-0.947278513471313
austria,aut,1997,0.29,,-0.947278513471313
austria,aut,1998,0.31,,-0.7173629870028754
austria,aut,1999,0.3,,-0.8323207502370942
austria,aut,2000,0.29,,-0.947278513471313
austria,aut,2003,0.29,,-0.947278513471313
austria,aut,2004,0.3,,-0.8323207502370942
austria,aut,2005,0.29,,-0.947278513471313
austria,aut,2006,0.3,,-0.8323207502370942
austria,aut,2007,0.31,,-0.7173629870028754
austria,aut,2008,0.3,,-0.8323207502370942
austria,aut,2009,0.31,,-0.7173629870028754
austria,aut,2010,0.3,,-0.8323207502370942
austria,aut,2011,0.31,,-0.7173629870028754
austria,aut,2012,0.3,,-0.8323207502370942
austria,aut,2013,0.31,,-0.7173629870028754
austria,aut,2014,0.31,,-0.7173629870028754
austria,aut,2015,0.31,,-0.7173629870028754
austria,aut,2016,0.31,,-0.7173629870028754
austria,aut,2017,0.3,,-0.8323207502370942
austria,aut,2018,0.31,,-0.7173629870028754
austria,aut,2019,0.3,,-0.8323207502370942
austria,aut,2020,0.3,,-0.8323207502370942
austria,aut,2021,0.31,,-0.7173629870028754
austria,aut,2022,0.31,,-0.7173629870028754
austria,aut,2023,0.31,Europe,-0.7173629870028754
austria-hungary,owid_auh,2023,,Europe,
azerbaijan,aze,1995,0.35,,-0.25753193406600067
azerbaijan,aze,2001,0.36,,-0.14257417083178184
azerbaijan,aze,2002,0.25,,-1.4071095664081876
azerbaijan,aze,2003,0.27,,-1.17719403993975
azerbaijan,aze,2004,0.27,,-1.17719403993975
azerbaijan,aze,2005,0.27,,-1.17719403993975
azerbaijan,aze,2023,,Asia,
bahamas,bhs,2023,,North America,
bahrain,bhr,2023,,Asia,
bangladesh,bgd,1983,0.26,,-1.2921518031739687
bangladesh,bgd,1985,0.27,,-1.17719403993975
bangladesh,bgd,1988,0.29,,-0.947278513471313
bangladesh,bgd,1991,0.28,,-1.0622362767055311
bangladesh,bgd,1995,0.33,,-0.48744746053443766
bangladesh,bgd,2000,0.33,,-0.48744746053443766
bangladesh,bgd,2005,0.33,,-0.48744746053443766
bangladesh,bgd,2010,0.32,,-0.6024052237686565
bangladesh,bgd,2016,0.32,,-0.6024052237686565
bangladesh,bgd,2022,0.31,,-0.7173629870028754
bangladesh,bgd,2023,,Asia,
barbados,brb,2016,0.34,,-0.37248969730021886
barbados,brb,2023,,North America,
belarus,blr,1998,0.32,,-0.6024052237686565
belarus,blr,1999,0.32,,-0.6024052237686565
belarus,blr,2000,0.31,,-0.7173629870028754
belarus,blr,2001,0.31,,-0.7173629870028754
belarus,blr,2002,0.3,,-0.8323207502370942
belarus,blr,2003,0.29,,-0.947278513471313
belarus,blr,2004,0.26,,-1.2921518031739687
belarus,blr,2005,0.28,,-1.0622362767055311
belarus,blr,2006,0.28,,-1.0622362767055311
belarus,blr,2007,0.3,,-0.8323207502370942
belarus,blr,2008,0.28,,-1.0622362767055311
belarus,blr,2009,0.28,,-1.0622362767055311
belarus,blr,2010,0.29,,-0.947278513471313
belarus,blr,2011,0.27,,-1.17719403993975
belarus,blr,2012,0.27,,-1.17719403993975
belarus,blr,2013,0.27,,-1.17719403993975
belarus,blr,2014,0.27,,-1.17719403993975
belarus,blr,2015,0.26,,-1.2921518031739687
belarus,blr,2016,0.25,,-1.4071095664081876
belarus,blr,2017,0.25,,-1.4071095664081876
belarus,blr,2018,0.25,,-1.4071095664081876
belarus,blr,2019,0.25,,-1.4071095664081876
belarus,blr,2020,0.24,,-1.5220673296424065
belarus,blr,2023,,Europe,
belgium,bel,1985,0.25,,-1.4071095664081876
belgium,bel,1988,0.26,,-1.2921518031739687
belgium,bel,1992,0.25,,-1.4071095664081876
belgium,bel,1995,0.28,,-1.0622362767055311
belgium,bel,1997,0.27,,-1.17719403993975
belgium,bel,2000,0.33,,-0.48744746053443766
belgium,bel,2003,0.28,,-1.0622362767055311
belgium,bel,2004,0.31,,-0.7173629870028754
belgium,bel,2005,0.29,,-0.947278513471313
belgium,bel,2006,0.28,,-1.0622362767055311
belgium,bel,2007,0.29,,-0.947278513471313
belgium,bel,2008,0.28,,-1.0622362767055311
belgium,bel,2009,0.29,,-0.947278513471313
belgium,bel,2010,0.28,,-1.0622362767055311
belgium,bel,2011,0.28,,-1.0622362767055311
belgium,bel,2012,0.27,,-1.17719403993975
belgium,bel,2013,0.28,,-1.0622362767055311
belgium,bel,2014,0.28,,-1.0622362767055311
belgium,bel,2015,0.28,,-1.0622362767055311
belgium,bel,2016,0.28,,-1.0622362767055311
belgium,bel,2017,0.27,,-1.17719403993975
belgium,bel,2018,0.27,,-1.17719403993975
belgium,bel,2019,0.27,,-1.17719403993975
belgium,bel,2020,0.26,,-1.2921518031739687
belgium,bel,2021,0.27,,-1.17719403993975
belgium,bel,2022,0.26,,-1.2921518031739687
belgium,bel,2023,0.27,Europe,-1.17719403993975
belize,blz,1995,0.58,,2.38649662032103
belize,blz,2018,0.4,,0.31725688210509345
belize,blz,2023,,North America,
benin,ben,2003,0.39,,0.20229911887087462
benin,ben,2011,0.43,,0.6621301718077492
benin,ben,2015,0.48,,1.2369189879788427
benin,ben,2018,0.38,,0.0873413556366558
benin,ben,2021,0.34,,-0.37248969730021886
benin,ben,2023,,Africa,
bermuda,bmu,2023,,North America,
bhutan,btn,2003,0.41,,0.43221464533931164
bhutan,btn,2007,0.38,,0.0873413556366558
bhutan,btn,2012,0.39,,0.20229911887087462
bhutan,btn,2017,0.37,,-0.02761640759756302
bhutan,btn,2022,0.28,,-1.0622362767055311
bhutan,btn,2023,,Asia,
bolivia,bol,1997,0.58,,2.38649662032103
bolivia,bol,1999,0.58,,2.38649662032103
bolivia,bol,2000,0.62,,2.846327673257905
bolivia,bol,2001,0.57,,2.271538857086811
bolivia,bol,2002,0.59,,2.5014543835552487
bolivia,bol,2004,0.55,,2.0416233306183744
bolivia,bol,2005,0.59,,2.5014543835552487
bolivia,bol,2006,0.57,,2.271538857086811
bolivia,bol,2007,0.55,,2.0416233306183744
bolivia,bol,2008,0.51,,1.5817922776814992
bolivia,bol,2009,0.49,,1.3518767512130616
bolivia,bol,2011,0.46,,1.0070034615104058
bolivia,bol,2012,0.47,,1.121961224744624
bolivia,bol,2013,0.48,,1.2369189879788427
bolivia,bol,2014,0.48,,1.2369189879788427
bolivia,bol,2015,0.47,,1.121961224744624
bolivia,bol,2016,0.45,,0.892045698276187
bolivia,bol,2017,0.45,,0.892045698276187
bolivia,bol,2018,0.43,,0.6621301718077492
bolivia,bol,2019,0.42,,0.5471724085735304
bolivia,bol,2020,0.44,,0.7770879350419682
bolivia,bol,2021,0.41,,0.43221464533931164
bolivia,bol,2022,0.41,,0.43221464533931164
bolivia,bol,2023,0.42,South America,0.5471724085735304
bonaire sint eustatius and saba,bes,2023,,North America,
bosnia and herzegovina,bih,2001,0.3,,-0.8323207502370942
bosnia and herzegovina,bih,2004,0.34,,-0.37248969730021886
bosnia and herzegovina,bih,2007,0.33,,-0.48744746053443766
bosnia and herzegovina,bih,2011,0.33,,-0.48744746053443766
bosnia and herzegovina,bih,2023,,Europe,
botswana,bwa,1985,0.54,,1.9266655673841557
botswana,bwa,1993,0.6,,2.616412146789467
botswana,bwa,2002,0.62,,2.846327673257905
botswana,bwa,2009,0.57,,2.271538857086811
botswana,bwa,2015,0.55,,2.0416233306183744
botswana,bwa,2023,,Africa,
brazil,bra,1981,0.58,,2.38649662032103
brazil,bra,1982,0.58,,2.38649662032103
brazil,bra,1983,0.59,,2.5014543835552487
brazil,bra,1984,0.58,,2.38649662032103
brazil,bra,1985,0.56,,2.1565810938525933
brazil,bra,1986,0.58,,2.38649662032103
brazil,bra,1987,0.6,,2.616412146789467
brazil,bra,1988,0.61,,2.731369910023686
brazil,bra,1989,0.63,,2.961285436492124
brazil,bra,1990,0.6,,2.616412146789467
brazil,bra,1992,0.53,,1.8117078041499368
brazil,bra,1993,0.6,,2.616412146789467
brazil,bra,1995,0.6,,2.616412146789467
brazil,bra,1996,0.6,,2.616412146789467
brazil,bra,1997,0.6,,2.616412146789467
brazil,bra,1998,0.6,,2.616412146789467
brazil,bra,1999,0.59,,2.5014543835552487
brazil,bra,2001,0.58,,2.38649662032103
brazil,bra,2002,0.58,,2.38649662032103
brazil,bra,2003,0.58,,2.38649662032103
brazil,bra,2004,0.56,,2.1565810938525933
brazil,bra,2005,0.56,,2.1565810938525933
brazil,bra,2006,0.56,,2.1565810938525933
brazil,bra,2007,0.55,,2.0416233306183744
brazil,bra,2008,0.54,,1.9266655673841557
brazil,bra,2009,0.54,,1.9266655673841557
brazil,bra,2011,0.53,,1.8117078041499368
brazil,bra,2012,0.53,,1.8117078041499368
brazil,bra,2013,0.53,,1.8117078041499368
brazil,bra,2014,0.52,,1.6967500409157181
brazil,bra,2015,0.52,,1.6967500409157181
brazil,bra,2016,0.53,,1.8117078041499368
brazil,bra,2017,0.53,,1.8117078041499368
brazil,bra,2018,0.54,,1.9266655673841557
brazil,bra,2019,0.54,,1.9266655673841557
brazil,bra,2020,0.49,,1.3518767512130616
brazil,bra,2021,0.53,,1.8117078041499368
brazil,bra,2022,0.52,,1.6967500409157181
brazil,bra,2023,0.52,South America,1.6967500409157181
british indian ocean territory,iot,2023,,Asia,
british virgin islands,vgb,2023,,North America,
brunei,brn,2023,,Asia,
bulgaria,bgr,1992,0.31,,-0.7173629870028754
bulgaria,bgr,2006,0.36,,-0.14257417083178184
bulgaria,bgr,2007,0.36,,-0.14257417083178184
bulgaria,bgr,2008,0.34,,-0.37248969730021886
bulgaria,bgr,2009,0.34,,-0.37248969730021886
bulgaria,bgr,2010,0.36,,-0.14257417083178184
bulgaria,bgr,2011,0.34,,-0.37248969730021886
bulgaria,bgr,2012,0.36,,-0.14257417083178184
bulgaria,bgr,2013,0.37,,-0.02761640759756302
bulgaria,bgr,2014,0.37,,-0.02761640759756302
bulgaria,bgr,2015,0.39,,0.20229911887087462
bulgaria,bgr,2016,0.41,,0.43221464533931164
bulgaria,bgr,2017,0.4,,0.31725688210509345
bulgaria,bgr,2018,0.41,,0.43221464533931164
bulgaria,bgr,2019,0.4,,0.31725688210509345
bulgaria,bgr,2020,0.41,,0.43221464533931164
bulgaria,bgr,2021,0.39,,0.20229911887087462
bulgaria,bgr,2022,0.38,,0.0873413556366558
bulgaria,bgr,2023,0.39,Europe,0.20229911887087462
burkina faso,bfa,1994,0.48,,1.2369189879788427
burkina faso,bfa,1998,0.5,,1.4668345144472803
burkina faso,bfa,2003,0.43,,0.6621301718077492
burkina faso,bfa,2009,0.4,,0.31725688210509345
burkina faso,bfa,2014,0.35,,-0.25753193406600067
burkina faso,bfa,2018,0.43,,0.6621301718077492
burkina faso,bfa,2021,0.37,,-0.02761640759756302
burkina faso,bfa,2023,,Africa,
burundi,bdi,1992,0.33,,-0.48744746053443766
