country_name,country_code,year,homicide_data,world_regions,zscore
afghanistan,afg,2009,1115.0,,-0.16168044965756861
afghanistan,afg,2010,983.0,,-0.17953599526849878
afghanistan,afg,2011,1231.0,,-0.1459892126055391
afghanistan,afg,2012,1948.0,,-0.049001135309804884
afghanistan,afg,2015,3367.0,,0.14294598000769423
afghanistan,afg,2016,2318.0,,0.0010485001147720525
afghanistan,afg,2017,2424.0,,0.015387044317488687
afghanistan,afg,2018,2474.0,,0.022150508564053137
afghanistan,afg,2019,2712.0,,0.05434459837769992
afghanistan,afg,2020,2570.0,,0.03513635991745688
afghanistan,afg,2021,1613.0,,-0.0943163457617867
afghanistan,afg,2023,,asia,
aland islands,ala,2023,,europe,
albania,alb,1992,130.0,,-0.2949206953148883
albania,alb,1993,191.0,,-0.2866692689340797
albania,alb,1994,112.0,,-0.29735554244365153
albania,alb,1995,259.0,,-0.277470957558752
albania,alb,1996,272.0,,-0.27571245685464524
albania,alb,1997,1334.0,,-0.13205647625761632
albania,alb,1998,660.0,,-0.22322797430130512
albania,alb,1999,532.0,,-0.24054244277251013
albania,alb,2000,131.0,,-0.294785426029957
albania,alb,2001,220.0,,-0.2827464596710723
albania,alb,2002,216.0,,-0.28328753681079744
albania,alb,2003,166.0,,-0.2900510010573619
albania,alb,2004,131.0,,-0.294785426029957
albania,alb,2005,154.0,,-0.29167423247653734
albania,alb,2006,95.0,,-0.2996551202874834
albania,alb,2007,105.0,,-0.29830242743817054
albania,alb,2008,93.0,,-0.299925658857346
albania,alb,2009,85.0,,-0.3010078131367963
albania,alb,2010,119.0,,-0.2964086574491325
albania,alb,2011,142.0,,-0.2932974638957128
albania,alb,2012,157.0,,-0.2912684246217435
albania,alb,2013,124.0,,-0.29573231102447606
albania,alb,2014,134.0,,-0.29437961817516317
albania,alb,2015,64.0,,-0.3038484681203534
albania,alb,2016,79.0,,-0.301819428846384
albania,alb,2017,58.0,,-0.3046600838299411
albania,alb,2018,66.0,,-0.3035779295504908
albania,alb,2019,65.0,,-0.3037131988354221
albania,alb,2020,61.0,,-0.30425427597514726
albania,alb,2021,66.0,,-0.3035779295504908
albania,alb,2022,48.0,,-0.30601277667925403
albania,alb,2023,39.0,europe,-0.3072302002436356
albania,alb,2024,49.0,,-0.30587750739432273
algeria,dza,2006,312.0,,-0.2703016854573937
algeria,dza,2007,271.0,,-0.27584772613957653
algeria,dza,2008,328.0,,-0.2681373768984931
algeria,dza,2009,277.0,,-0.2750361104299888
algeria,dza,2010,254.0,,-0.2781473039834085
algeria,dza,2011,280.0,,-0.27463030257519494
algeria,dza,2012,523.0,,-0.24175986633689173
algeria,dza,2013,480.0,,-0.24757644558893716
algeria,dza,2014,577.0,,-0.23445532495060212
algeria,dza,2015,546.0,,-0.23864867278347207
algeria,dza,2016,542.0,,-0.23918974992319722
algeria,dza,2017,524.0,,-0.24162459705196043
algeria,dza,2018,568.0,,-0.2356727485149837
algeria,dza,2019,519.0,,-0.24230094347661688
algeria,dza,2020,654.0,,-0.22403959001089285
algeria,dza,2021,695.0,,-0.21849354932871
algeria,dza,2022,795.0,,-0.20496662083558112
algeria,dza,2023,536.0,africa,-0.24000136563278496
american samoa,asm,2001,1.0,,-0.3123704330710246
american samoa,asm,2002,7.0,,-0.31155881736143687
american samoa,asm,2003,3.0,,-0.312099894501162
american samoa,asm,2004,4.0,,-0.3119646252162307
american samoa,asm,2005,6.0,,-0.31169408664636816
american samoa,asm,2006,4.0,,-0.3119646252162307
american samoa,asm,2007,1.0,,-0.3123704330710246
american samoa,asm,2008,3.0,,-0.312099894501162
american samoa,asm,2009,2.0,,-0.3122351637860933
american samoa,asm,2010,5.0,,-0.31182935593129946
american samoa,asm,2011,5.0,,-0.31182935593129946
american samoa,asm,2012,2.0,,-0.3122351637860933
american samoa,asm,2013,3.0,,-0.312099894501162
american samoa,asm,2014,3.0,,-0.312099894501162
american samoa,asm,2015,4.0,,-0.3119646252162307
american samoa,asm,2016,0.0,,-0.31250570235595587
american samoa,asm,2017,7.0,,-0.31155881736143687
american samoa,asm,2018,13.0,,-0.3107472016518491
american samoa,asm,2019,0.0,,-0.31250570235595587
american samoa,asm,2023,,oceania,
andorra,and,2004,1.0,,-0.3123704330710246
andorra,and,2007,0.0,,-0.31250570235595587
andorra,and,2008,1.0,,-0.3123704330710246
andorra,and,2009,0.0,,-0.31250570235595587
andorra,and,2010,0.0,,-0.31250570235595587
andorra,and,2011,1.0,,-0.3123704330710246
andorra,and,2012,0.0,,-0.31250570235595587
andorra,and,2013,0.0,,-0.31250570235595587
andorra,and,2014,0.0,,-0.31250570235595587
andorra,and,2015,0.0,,-0.31250570235595587
andorra,and,2020,2.0,,-0.3122351637860933
andorra,and,2023,,europe,
angola,ago,2011,1055.0,,-0.16979660675344596
angola,ago,2012,1217.0,,-0.14788298259457716
