country_name,country_code,year,suicide_data,homicide_data,intentional_death,gini_index
albania,alb,2002,4.48,216.0,220.48,0.32
albania,alb,2005,6.91,154.0,160.91,0.31
albania,alb,2008,6.95,93.0,99.95,0.3
albania,alb,2012,4.09,157.0,161.09,0.29
albania,alb,2014,3.8,134.0,137.8,0.35
albania,alb,2015,3.58,64.0,67.58,0.33
albania,alb,2016,3.45,79.0,82.45,0.34
albania,alb,2017,3.29,58.0,61.29,0.33
albania,alb,2018,3.14,66.0,69.14,0.3
albania,alb,2019,3.03,65.0,68.03,0.3
albania,alb,2020,2.51,61.0,63.51,0.29
algeria,dza,2011,2.52,280.0,282.52,0.28
armenia,arm,2001,3.22,88.0,91.22,0.35
armenia,arm,2002,3.35,69.0,72.35,0.35
armenia,arm,2004,3.61,83.0,86.61,0.38
armenia,arm,2005,3.86,58.0,61.86,0.36
armenia,arm,2006,5.6,79.0,84.6,0.3
armenia,arm,2007,5.25,77.0,82.25,0.31
armenia,arm,2008,4.23,97.0,101.23,0.29
armenia,arm,2009,4.01,97.0,101.01,0.28
armenia,arm,2010,5.97,56.0,61.97,0.3
armenia,arm,2011,5.81,71.0,76.81,0.29
armenia,arm,2012,6.53,65.0,71.53,0.3
armenia,arm,2013,5.41,63.0,68.41,0.31
armenia,arm,2014,4.67,72.0,76.67,0.31
armenia,arm,2015,4.58,75.0,79.58,0.32
armenia,arm,2016,4.56,87.0,91.56,0.33
armenia,arm,2017,2.47,70.0,72.47,0.34
armenia,arm,2018,1.78,50.0,51.78,0.34
armenia,arm,2019,1.86,73.0,74.86,0.3
armenia,arm,2020,1.42,75.0,76.42,0.25
armenia,arm,2021,1.85,90.0,91.85,0.28
australia,aus,2001,12.08,347.0,359.08,0.33
australia,aus,2003,10.22,302.0,312.22,0.33
australia,aus,2004,9.76,263.0,272.76,0.33
australia,aus,2008,10.99,261.0,271.99,0.35
australia,aus,2010,10.87,231.0,241.87,0.35
australia,aus,2014,11.79,243.0,254.79,0.34
australia,aus,2016,11.3,227.0,238.3,0.34
australia,aus,2018,12.15,221.0,233.15,0.34
australia,aus,2020,11.87,221.0,232.87,0.34
austria,aut,2000,15.73,82.0,97.73,0.29
austria,aut,2003,14.07,50.0,64.07,0.29
austria,aut,2004,13.55,59.0,72.55,0.3
austria,aut,2005,13.26,54.0,67.26,0.29
austria,aut,2006,12.39,61.0,73.39,0.3
austria,aut,2007,12.2,45.0,57.2,0.31
austria,aut,2008,11.57,58.0,69.57,0.3
austria,aut,2009,11.79,51.0,62.79,0.31
austria,aut,2010,12.17,61.0,73.17,0.3
austria,aut,2011,12.12,77.0,89.12,0.31
austria,aut,2012,11.69,81.0,92.69,0.3
austria,aut,2013,11.39,61.0,72.39,0.31
austria,aut,2014,12.23,42.0,54.230000000000004,0.31
austria,aut,2015,11.61,44.0,55.61,0.31
austria,aut,2016,11.42,54.0,65.42,0.31
austria,aut,2017,11.09,70.0,81.09,0.3
austria,aut,2018,11.3,86.0,97.3,0.31
austria,aut,2019,10.43,77.0,87.43,0.3
austria,aut,2020,9.84,65.0,74.84,0.3
austria,aut,2021,10.15,65.0,75.15,0.31
azerbaijan,aze,2001,2.77,218.0,220.77,0.36
azerbaijan,aze,2002,2.81,212.0,214.81,0.25
bangladesh,bgd,2000,5.24,3343.0,3348.24,0.33
bangladesh,bgd,2005,4.6,3592.0,3596.6,0.33
bangladesh,bgd,2010,4.0,3988.0,3992.0,0.32
bangladesh,bgd,2016,3.1,3591.0,3594.1,0.32
barbados,brb,2016,3.93,22.0,25.93,0.34
belarus,blr,2000,35.31,1013.0,1048.31,0.31
belarus,blr,2001,34.93,969.0,1003.93,0.31
belarus,blr,2002,35.51,989.0,1024.51,0.3
belarus,blr,2007,28.7,649.0,677.7,0.3
belarus,blr,2008,30.38,552.0,582.38,0.28
belarus,blr,2009,30.46,487.0,517.46,0.28
belarus,blr,2010,28.67,401.0,429.67,0.29
belarus,blr,2011,28.76,373.0,401.76,0.27
belarus,blr,2012,23.58,340.0,363.58,0.27
belarus,blr,2013,21.04,333.0,354.04,0.27
belarus,blr,2014,19.48,340.0,359.48,0.27
belarus,blr,2015,17.78,326.0,343.78,0.26
belarus,blr,2016,16.96,307.0,323.96,0.25
belarus,blr,2017,15.29,240.0,255.29,0.25
belarus,blr,2018,15.04,226.0,241.04,0.25
belarus,blr,2019,13.96,225.0,238.96,0.25
belgium,bel,2000,18.4,212.0,230.4,0.33
belgium,bel,2021,14.31,125.0,139.31,0.27
belize,blz,2018,6.12,143.0,149.12,0.4
bhutan,btn,2003,7.27,5.0,12.27,0.41
bhutan,btn,2007,6.54,14.0,20.54,0.38
bhutan,btn,2012,5.77,33.0,38.769999999999996,0.39
bhutan,btn,2017,5.69,13.0,18.69,0.37
bolivia,bol,2015,6.28,543.0,549.28,0.47
bolivia,bol,2016,6.24,642.0,648.24,0.45
bolivia,bol,2017,6.16,747.0,753.16,0.45
bolivia,bol,2018,6.01,574.0,580.01,0.43
bolivia,bol,2019,5.92,497.0,502.92,0.42
bolivia,bol,2020,5.64,428.0,433.64,0.44
bolivia,bol,2021,5.08,418.0,423.08,0.41
bosnia and herzegovina,bih,2001,9.79,82.0,91.78999999999999,0.3
bosnia and herzegovina,bih,2004,9.02,68.0,77.02,0.34
bosnia and herzegovina,bih,2007,9.47,66.0,75.47,0.33
bosnia and herzegovina,bih,2011,8.19,51.0,59.19,0.33
botswana,bwa,2002,15.38,255.0,270.38,0.62
botswana,bwa,2009,20.12,289.0,309.12,0.57
brazil,bra,2001,5.14,47955.0,47960.14,0.58
brazil,bra,2002,5.03,49710.0,49715.03,0.58
brazil,bra,2003,4.98,51064.0,51068.98,0.58
brazil,bra,2004,5.02,48394.0,48399.02,0.56
brazil,bra,2005,5.25,47593.0,47598.25,0.56
brazil,bra,2006,5.17,49165.0,49170.17,0.56
brazil,bra,2007,5.34,47731.0,47736.34,0.55
brazil,bra,2008,5.52,50135.0,50140.52,0.54
brazil,bra,2009,5.45,51461.0,51466.45,0.54
brazil,bra,2011,5.42,52233.0,52238.42,0.53
brazil,bra,2012,5.51,56388.0,56393.51,0.53
brazil,bra,2013,5.61,56845.0,56850.61,0.53
brazil,bra,2014,5.61,59733.0,59738.61,0.52
brazil,bra,2015,5.82,58184.0,58189.82,0.52
brazil,bra,2016,5.9,61208.0,61213.9,0.53
brazil,bra,2017,6.47,63788.0,63794.47,0.53
brazil,bra,2018,6.21,55980.0,55986.21,0.54
brazil,bra,2019,6.19,44073.0,44079.19,0.54
brazil,bra,2020,6.33,47722.0,47728.33,0.49
brazil,bra,2021,6.91,45562.0,45568.91,0.53
bulgaria,bgr,2006,9.38,186.0,195.38,0.36
bulgaria,bgr,2007,8.5,177.0,185.5,0.36
bulgaria,bgr,2008,9.09,172.0,181.09,0.34
bulgaria,bgr,2009,8.49,150.0,158.49,0.34
bulgaria,bgr,2010,8.48,148.0,156.48,0.36
bulgaria,bgr,2011,7.93,128.0,135.93,0.34
bulgaria,bgr,2012,8.82,141.0,149.82,0.36
bulgaria,bgr,2013,7.38,109.0,116.38,0.37
bulgaria,bgr,2014,7.19,112.0,119.19,0.37
bulgaria,bgr,2015,6.82,126.0,132.82,0.39
bulgaria,bgr,2016,6.62,79.0,85.62,0.41
bulgaria,bgr,2017,6.7,103.0,109.7,0.4
bulgaria,bgr,2018,6.64,92.0,98.64,0.41
bulgaria,bgr,2019,6.09,83.0,89.09,0.4
bulgaria,bgr,2020,6.68,69.0,75.68,0.41
bulgaria,bgr,2021,6.27,89.0,95.27,0.39
burundi,bdi,2013,14.07,520.0,534.07,0.39
cameroon,cmr,2001,13.62,755.0,768.62,0.42
canada,can,2000,11.21,546.0,557.21,0.33
canada,can,2001,11.37,554.0,565.37,0.34
canada,can,2002,11.02,582.0,593.02,0.34
canada,can,2003,11.53,549.0,560.53,0.34
canada,can,2004,10.94,625.0,635.94,0.34
canada,can,2005,11.24,664.0,675.24,0.34
canada,can,2006,10.18,608.0,618.18,0.34
canada,can,2007,10.56,597.0,607.56,0.34
canada,can,2008,10.66,614.0,624.66,0.34
canada,can,2009,11.08,610.0,621.08,0.34
canada,can,2010,11.1,557.0,568.1,0.34
canada,can,2011,10.38,609.0,619.38,0.33
canada,can,2012,10.89,549.0,559.89,0.34
canada,can,2013,10.94,509.0,519.94,0.34
canada,can,2014,11.53,525.0,536.53,0.33
canada,can,2015,11.59,611.0,622.59,0.34
canada,can,2016,9.94,616.0,625.94,0.33
canada,can,2017,10.33,665.0,675.33,0.33
canada,can,2018,10.97,662.0,672.97,0.33
canada,can,2019,11.05,689.0,700.05,0.32
canada,can,2020,10.21,765.0,775.21,0.3
canada,can,2021,8.09,801.0,809.09,0.31
cape verde,cpv,2015,16.89,46.0,62.89,0.42
chile,chl,2003,9.69,513.0,522.69,0.51
chile,chl,2006,9.69,590.0,599.69,0.48
chile,chl,2009,12.1,630.0,642.1,0.47
chile,chl,2011,11.0,636.0,647.0,0.47
chile,chl,2013,9.2,556.0,565.2,0.47
